,symbol,name,engname,tradetype,lasttrade,prevclose,open,high,low,volume,amount,ticktime,buy,sell,pricechange,changepercent
596,00753,中国国航,AIR CHINA,EQTY,3.950,3.990,3.990,4.030,3.920,14201033,56061843,2024-06-13 16:08:12,3.930,3.950,-0.040,-1.0025063
597,00754,合生创展集团,HOPSON DEV HOLD,EQTY,3.640,3.640,3.690,3.690,3.590,1171990,4240535,2024-06-13 16:08:15,3.630,3.640,0.000,0.0000000
598,00755,上海证大,SHANGHAI ZENDAI,EQTY,0.015,0.015,0.016,0.016,0.015,55000,875,2024-06-13 16:08:15,0.015,0.016,0.000,0.0000000
599,00756,森美控股,SUMMI,EQTY,0.500,0.480,0.485,0.510,0.485,224000,111480,2024-06-13 16:08:15,0.500,0.520,0.020,4.1666667
600,00757,阳光能源,SOLARGIGA,EQTY,0.141,0.140,0.142,0.143,0.140,488000,68429,2024-06-13 16:08:15,0.141,0.142,0.001,0.7142857
601,00759,CEC INT'L HOLD,CEC INT'L HOLD,EQTY,0.210,0.215,0.215,0.215,0.199,210000,43282,2024-06-13 16:08:15,0.205,0.212,-0.005,-2.3255814
602,00760,新天地产集团,TALENT PPT GP,EQTY,0.145,0.145,0.000,0.000,0.000,0,0,2024-06-13 16:08:15,0.047,0.000,0.000,0.0000000
603,00762,中国联通,CHINA UNICOM,EQTY,6.340,6.280,6.320,6.400,6.270,40281849,255999111,2024-06-13 16:08:15,6.340,6.350,0.060,0.9554140
604,00763,中兴通讯,ZTE,EQTY,17.240,16.860,16.980,17.560,16.900,12052557,207713431,2024-06-13 16:08:15,17.220,17.240,0.380,2.2538553
605,00764,永恒策略,ETERNITY INV,EQTY,0.079,0.079,0.000,0.000,0.000,0,0,2024-06-13 16:08:15,0.077,0.100,0.000,0.0000000
606,00765,PERFECTECH INTL,PERFECTECH INTL,EQTY,0.610,0.610,0.000,0.000,0.000,0,0,2024-06-13 16:08:15,0.560,0.670,0.000,0.0000000
607,00767,中基长寿科学,ZHONG JI LS,EQTY,0.365,0.370,0.370,0.370,0.360,360000,131400,2024-06-13 16:08:15,0.350,0.360,-0.005,-1.3513514
608,00768,开明投资,UBA INVESTMENTS,EQTY,0.029,0.029,0.000,0.000,0.000,0,0,2024-06-13 16:08:15,0.029,0.036,0.000,0.0000000
609,00769,中国稀土,CHINA RAREEARTH,EQTY,0.320,0.315,0.320,0.320,0.315,2076000,663570,2024-06-13 16:08:15,0.320,0.325,0.005,1.5873016
610,00770,沪光国际上海发展,SHANGHAI GROWTH,EQTY,0.086,0.086,0.000,0.000,0.000,0,0,2024-06-13 16:08:15,0.063,0.117,0.000,0.0000000
611,00771,自动系统,AUTOMATED SYS,EQTY,0.580,0.580,0.000,0.000,0.000,0,0,2024-06-13 16:08:15,0.570,0.580,0.000,0.0000000
612,00772,阅文集团,CHINA LIT,EQTY,27.350,26.350,26.350,27.650,26.350,4256685,116071263,2024-06-13 16:08:15,27.350,27.400,1.000,3.7950664
613,00775,长江生命科技,CKLIFE SCIENCES,EQTY,0.355,0.340,0.350,0.355,0.340,3324000,1150040,2024-06-13 16:08:15,0.350,0.355,0.015,4.4117647
614,00776,帝国科技集团,IMPERIUM TEC GP,EQTY,3.050,2.960,3.000,3.050,2.930,23000,69455,2024-06-13 16:08:15,3.000,0.000,0.090,3.0405405
615,00777,网龙,NETDRAGON,EQTY,12.420,12.000,12.020,12.640,12.020,2951614,36676094,2024-06-13 16:08:12,12.320,12.420,0.420,3.5000000
616,00780,同程旅行,TONGCHENGTRAVEL,EQTY,17.080,16.920,16.920,17.160,16.800,7731754,131442316,2024-06-13 16:08:15,17.060,17.080,0.160,0.9456265
617,00784,凌锐控股,LING YUI,EQTY,0.068,0.067,0.068,0.068,0.068,780000,53040,2024-06-13 16:08:15,0.064,0.070,0.001,1.4925373
618,00788,中国铁塔,CHINA TOWER,EQTY,1.020,1.000,1.000,1.030,1.000,346751730,352379718,2024-06-13 16:08:15,1.020,1.030,0.020,2.0000000
619,00789,雅天妮集团,ARTINI HLDG,EQTY,0.450,0.445,0.445,0.455,0.425,340000,153200,2024-06-13 16:08:15,0.420,0.465,0.005,1.1235955
620,00794,锦胜集团(控股),COME SURE GROUP,EQTY,0.183,0.183,0.000,0.000,0.000,0,0,2024-06-13 16:08:15,0.180,0.200,0.000,0.0000000
621,00797,第七大道,7ROAD,EQTY,2.290,2.290,0.000,0.000,0.000,0,0,2024-06-13 16:08:15,2.200,2.300,0.000,0.0000000
622,00798,中电光谷,CEOVU,EQTY,0.330,0.330,0.000,0.000,0.000,0,0,2024-06-13 16:08:15,0.315,0.330,0.000,0.0000000
623,00799,IGG,IGG,EQTY,3.020,2.970,2.970,3.120,2.970,1316000,3991183,2024-06-13 16:08:12,3.020,3.050,0.050,1.6835017
624,00800,A8新媒体,A8 NEW MEDIA,EQTY,0.330,0.137,0.330,0.335,0.305,149449223,48189834,2024-06-13 16:08:15,0.330,0.335,0.193,140.8759124
625,00802,中国钱包,CHINA E-WALLET,EQTY,0.045,0.045,0.000,0.000,0.000,0,0,2024-06-13 16:08:15,0.045,0.048,0.000,0.0000000
626,00804,鼎石资本,PINESTONE,EQTY,0.330,0.325,0.345,0.350,0.330,260000,87775,2024-06-13 16:08:15,0.320,0.330,0.005,1.5384615
627,00806,惠理集团,VALUE PARTNERS,EQTY,1.710,1.700,1.730,1.730,1.700,1088000,1863180,2024-06-13 16:08:15,1.710,1.720,0.010,0.5882353
628,00807,上海实业环境,SIICENVIRONMENT,EQTY,1.000,1.010,1.020,1.020,0.980,991000,982930,2024-06-13 16:08:15,1.000,1.010,-0.010,-0.9900990
629,00809,大成生化科技,GLOBAL BIO-CHEM,EQTY,0.092,0.097,0.091,0.092,0.091,80000,7356,2024-06-13 16:08:15,0.092,0.097,-0.005,-5.1546392
630,00810,中国铸晨81,CH CASTSON 81,EQTY,0.440,0.435,0.420,0.445,0.420,4500000,1957890,2024-06-13 16:08:15,0.435,0.440,0.005,1.1494253
631,00811,新华文轩,XINHUA WINSHARE,EQTY,9.670,9.600,9.570,9.790,9.570,1239000,12025035,2024-06-13 16:08:15,9.670,9.700,0.070,0.7291667
632,00812,西证国际证券,SWSI,EQTY,0.030,0.030,0.000,0.000,0.000,0,0,2024-06-13 16:08:15,0.026,0.030,0.000,0.0000000
633,00813,世茂集团,SHIMAO GROUP,EQTY,0.770,0.770,0.790,0.810,0.750,63795650,49204480,2024-06-13 16:08:15,0.760,0.770,0.000,0.0000000
634,00814,北京京客隆,JINGKELONG,EQTY,0.415,0.415,0.000,0.000,0.000,0,0,2024-06-13 16:08:15,0.375,0.420,0.000,0.0000000
635,00815,中国白银集团,CHI SILVER GP,EQTY,0.305,0.315,0.305,0.310,0.300,5446000,1655960,2024-06-13 16:08:15,0.300,0.305,-0.010,-3.1746032
636,00816,金茂服务,JINMAO SERVICES,EQTY,2.710,2.690,2.690,2.770,2.620,622549,1652432,2024-06-13 16:08:15,2.630,2.710,0.020,0.7434944
637,00817,中国金茂,CHINA JINMAO,EQTY,0.670,0.670,0.680,0.690,0.660,14536000,9717540,2024-06-13 16:08:15,0.660,0.670,0.000,0.0000000
638,00818,高阳科技,HI SUN TECH,EQTY,0.445,0.460,0.460,0.460,0.435,687000,309090,2024-06-13 16:08:15,0.445,0.455,-0.015,-3.2608696
639,00819,天能动力,TIANNENG POWER,EQTY,5.270,5.220,5.270,5.320,5.150,5228000,27393210,2024-06-13 16:08:15,5.270,5.280,0.050,0.9578544
640,00821,汇盈控股,VC HOLDINGS,EQTY,0.052,0.048,0.052,0.056,0.049,9160000,480432,2024-06-13 16:08:15,0.052,0.054,0.004,8.3333333
641,00822,嘉瑞国际,KA SHUI INT'L,EQTY,0.285,0.265,0.275,0.285,0.275,40000,11190,2024-06-13 16:08:15,0.280,0.285,0.020,7.5471698
642,00825,新世界百货中国,NWDS CHINA,EQTY,0.239,0.238,0.238,0.240,0.236,412000,98194,2024-06-13 16:08:15,0.236,0.240,0.001,0.4201681
643,00826,天工国际,TIANGONG INT'L,EQTY,1.610,1.580,1.610,1.610,1.560,3814000,6069620,2024-06-13 16:08:15,1.590,1.610,0.030,1.8987342
644,00827,玖源集团,KO YO GROUP,EQTY,0.083,0.082,0.083,0.083,0.082,516000,41824,2024-06-13 16:08:15,0.081,0.083,0.001,1.2195122
645,00828,王朝酒业,DYNASTY WINES,EQTY,0.250,0.250,0.000,0.000,0.000,0,0,2024-06-13 16:08:15,0.250,0.290,0.000,0.0000000
646,00829,神冠控股,SHENGUAN HLDGS,EQTY,0.270,0.275,0.275,0.275,0.265,686000,184360,2024-06-13 16:08:15,0.270,0.275,-0.005,-1.8181818
647,00830,中国建筑兴业,CSC DEVELOPMENT,EQTY,2.230,2.280,2.280,2.280,2.200,1816000,4052600,2024-06-13 16:08:15,2.230,2.270,-0.050,-2.1929825
648,00831,利亚零售,CR ASIA,EQTY,0.610,0.620,0.620,0.630,0.610,664000,409180,2024-06-13 16:08:15,0.600,0.620,-0.010,-1.6129032
649,00832,建业地产,CENTRAL CHINA,EQTY,0.135,0.138,0.134,0.136,0.131,755000,100995,2024-06-13 16:08:15,0.132,0.133,-0.003,-2.1739130
650,00833,华讯,ALLTRONICS,EQTY,0.560,0.570,0.570,0.570,0.560,20000,11360,2024-06-13 16:08:15,0.480,0.570,-0.010,-1.7543860
651,00834,康大食品,KANGDA FOOD,EQTY,0.203,0.203,0.000,0.000,0.000,0,0,2024-06-13 16:08:15,0.000,0.203,0.000,0.0000000
652,00836,华润电力,CHINA RES POWER,EQTY,24.000,23.150,23.200,24.100,23.200,16996212,404782447,2024-06-13 16:08:15,23.950,24.000,0.850,3.6717063
653,00837,谭木匠,CARPENTER TAN,EQTY,5.420,5.430,5.450,5.450,5.420,8000,43510,2024-06-13 16:08:15,5.420,5.530,-0.010,-0.1841621
654,00838,亿和控股,EVA HOLDINGS,EQTY,0.710,0.710,0.710,0.720,0.710,1254000,896080,2024-06-13 16:08:15,0.710,0.720,0.000,0.0000000
655,00839,中教控股,CHINA EDU GROUP,EQTY,4.660,4.800,4.800,4.890,4.600,7774670,36254773,2024-06-13 16:08:15,4.650,4.660,-0.140,-2.9166667
656,00840,天业节水,TIANYE WATER,EQTY,0.136,0.136,0.000,0.000,0.000,0,0,2024-06-13 16:08:15,0.130,0.160,0.000,0.0000000
657,00841,木薯资源,CASSAVA RES,EQTY,0.101,0.103,0.101,0.101,0.101,12000,1212,2024-06-13 16:08:15,0.101,0.143,-0.002,-1.9417476
658,00842,理士国际,LEOCH INT'L,EQTY,1.470,1.460,1.440,1.490,1.400,627000,902350,2024-06-13 16:08:15,1.460,1.470,0.010,0.6849315
659,00844,广泰国际控股,GREATIME INTL,EQTY,0.470,0.470,0.000,0.000,0.000,0,0,2024-06-13 16:08:15,0.370,0.470,0.000,0.0000000
660,00845,恒盛地产,GLORIOUS PPT H,EQTY,0.010,0.010,0.000,0.000,0.000,0,0,2024-06-13 16:08:15,0.000,0.010,0.000,0.0000000
661,00846,明发集团,MINGFA GROUP,EQTY,0.295,0.285,0.295,0.295,0.295,1000,295,2024-06-13 16:08:15,0.204,0.295,0.010,3.5087719
