序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
5103,603369,今世缘,47.03,-0.89,-0.42,69945.0,331917969.0,2.87,48.23,46.87,47.1,47.45,0.72,0.56,11.98,4.07,58999135000.0,58999135000.0,0.02,0.02,3.07,-1.51
5104,603220,中贝通信,23.47,-0.89,-0.21,253651.0,594071864.0,2.49,23.8,23.21,23.69,23.68,0.67,5.84,48.33,5.34,10185357834.0,10185357834.0,0.04,0.04,23.14,-9.77
5105,600085,同仁堂,39.05,-0.89,-0.35,127554.0,499452940.0,1.6,39.47,38.84,39.39,39.4,0.7,0.93,26.23,4.24,53555913731.0,53555913731.0,0.03,0.0,5.46,-25.9
5106,837023,芭薇股份,13.33,-0.89,-0.12,64806.0,89405555.72,14.42,14.94,13.0,13.17,13.45,1.75,19.84,38.8,3.11,1143714000.0,435443245.0,-0.15,-0.52,39.14,29.42
5107,300576,容大感光,48.73,-0.89,-0.44,200573.0,986109756.82,2.93,50.05,48.61,49.84,49.17,0.56,10.93,99.97,11.07,14409884902.0,8943456566.0,0.0,0.08,35.78,49.25
5108,300411,金盾股份,17.66,-0.9,-0.16,904269.0,1646938179.05,12.18,19.25,17.08,17.2,17.82,0.87,29.51,278.95,7.58,7179143324.0,5411028857.0,0.06,-0.11,62.62,152.65
5109,601658,邮储银行,5.49,-0.9,-0.05,1298293.0,712270179.0,2.17,5.55,5.43,5.54,5.54,0.77,0.19,5.58,0.68,544394307449.0,368501949648.0,-0.18,-0.18,9.15,34.23
5110,001286,陕西能源,9.88,-0.9,-0.09,326926.0,323186334.83,1.91,10.0,9.81,9.96,9.97,1.22,3.11,12.02,1.57,37050000000.0,10374000000.0,0.2,0.2,-10.99,20.63
5111,002425,ST凯文,2.19,-0.9,-0.02,621050.0,136014668.75,3.17,2.23,2.16,2.22,2.21,1.02,6.5,-22.44,0.6,2095096495.0,2093773367.0,0.0,0.0,-5.19,-51.01
5112,000423,东阿阿胶,59.1,-0.91,-0.54,43907.0,259671049.76,1.58,59.64,58.7,59.64,59.64,0.55,0.68,25.77,3.72,38059030298.0,38059030298.0,-0.03,-0.03,19.81,27.4
5113,688326,经纬恒润-W,86.4,-0.91,-0.79,22356.0,192745442.0,5.18,88.52,84.0,87.89,87.19,0.62,2.81,-15.55,2.38,10367274240.0,6866837942.0,-0.1,0.03,41.34,-25.55
5114,688981,中芯国际,93.7,-0.91,-0.86,1106464.0,10481219254.0,6.49,98.66,92.52,94.56,94.56,0.6,5.56,226.94,5.17,747208994977.0,186309250387.0,0.0,-0.27,91.81,76.73
5115,833943,优机股份,16.32,-0.91,-0.15,78136.0,131984519.3,8.93,17.6,16.13,16.13,16.47,0.66,18.96,32.97,2.96,1656828889.0,672418403.0,0.0,-0.49,97.58,6.67
5116,301600,慧翰股份,78.6,-0.92,-0.73,41825.0,329969234.06,5.84,81.66,77.03,79.29,79.33,0.91,23.83,30.66,4.39,5513790000.0,1379430000.0,0.01,0.09,97.29,97.29
5117,301133,金钟股份,23.58,-0.92,-0.22,37856.0,90181741.4,3.57,24.4,23.55,24.3,23.8,1.21,10.81,25.3,2.6,2514073308.0,825897729.0,0.0,0.04,8.76,-14.0
5118,002595,豪迈科技,47.85,-0.93,-0.45,35116.0,167399554.5,2.67,48.49,47.2,48.44,48.3,0.73,0.44,19.93,4.13,38280000000.0,38029505250.0,-0.02,0.04,35.71,66.32
5119,301419,阿莱德,30.79,-0.93,-0.29,32657.0,99910947.0,3.06,31.15,30.2,30.99,31.08,0.79,9.24,90.67,3.35,3079000000.0,1088426500.0,0.0,0.42,36.84,-15.87
5120,603615,茶花股份,20.06,-0.94,-0.19,174844.0,357280612.0,10.32,21.5,19.41,20.14,20.25,1.59,7.23,-246.16,4.18,4850909200.0,4850909200.0,0.05,0.3,105.53,9.56
5121,002638,勤上股份,2.11,-0.94,-0.02,269156.0,57060896.76,2.82,2.15,2.09,2.13,2.13,1.02,2.0,-67.26,1.21,3031214076.0,2842290816.0,0.0,0.48,41.61,-22.14
5122,603319,湘油泵,19.99,-0.94,-0.19,139423.0,277346827.0,3.47,20.18,19.48,20.17,20.18,1.23,6.72,22.68,2.39,4158780809.0,4148125100.0,0.3,0.25,31.51,16.63
5123,601298,青岛港,8.35,-0.95,-0.08,116730.0,97439945.0,2.61,8.5,8.28,8.5,8.43,0.87,0.22,10.26,1.32,54200685000.0,45023826250.0,-0.12,-0.24,-9.34,41.77
5124,300868,杰美特,23.99,-0.95,-0.23,58083.0,139786821.85,2.81,24.5,23.82,24.4,24.22,0.53,7.21,228.37,2.01,3070720000.0,1932644788.0,0.08,0.25,38.19,10.45
5125,600256,广汇能源,8.3,-0.95,-0.08,873079.0,720843889.0,2.27,8.37,8.18,8.34,8.38,0.72,1.33,18.73,2.1,54495767654.0,54495767654.0,-0.12,0.36,44.1,28.88
5126,002472,双环传动,29.04,-0.95,-0.28,94294.0,275427342.88,2.22,29.57,28.92,29.49,29.32,0.68,1.26,25.95,2.98,24553175729.0,21800914811.0,-0.1,-0.17,42.14,12.12
5127,300295,三六五网,17.58,-0.96,-0.17,213574.0,380749574.4,3.66,18.2,17.55,17.55,17.75,0.59,12.75,-297.63,2.77,3354698472.0,2945504810.0,0.06,0.0,108.79,42.58
5128,300458,全志科技,39.04,-0.96,-0.38,493005.0,1934951182.83,3.2,40.08,38.82,39.7,39.42,0.51,9.52,103.84,8.2,24728764897.0,20216695308.0,0.08,0.05,52.56,73.2
5129,688636,智明达,27.62,-0.97,-0.27,36411.0,101117994.0,4.8,28.44,27.1,27.1,27.89,0.71,3.24,-254.92,2.88,3112258721.0,3107294579.0,0.33,0.29,37.89,-36.68
5130,688628,优利德,37.6,-0.97,-0.37,19201.0,73624947.0,6.29,39.98,37.59,38.0,37.97,1.31,1.73,20.7,3.4,4184203087.0,4179420367.0,0.0,-0.53,35.64,-2.34
5131,300814,中富电路,33.37,-0.98,-0.33,55551.0,185515073.96,4.01,34.15,32.8,34.05,33.7,0.57,3.16,141.15,5.14,5866370117.0,5866370117.0,0.0,0.03,30.2,-0.65
5132,002478,常宝股份,5.05,-0.98,-0.05,249845.0,124688498.18,2.35,5.05,4.93,4.95,5.1,2.21,3.47,8.3,0.84,4551798451.0,3633929187.0,0.2,0.4,0.6,-2.32
5133,600518,康美药业,2.0,-0.99,-0.02,3777965.0,760117500.0,2.97,2.04,1.98,2.02,2.02,1.01,2.78,879.67,3.93,27727733380.0,27225856210.0,0.0,0.0,8.11,7.53
5134,300581,晨曦航空,10.98,-0.99,-0.11,296148.0,325536110.18,3.43,11.25,10.87,11.1,11.09,0.62,5.38,-118.98,6.04,6040202815.0,6040202815.0,0.0,0.18,55.3,11.81
5135,688252,天德钰,23.71,-1.0,-0.24,108146.0,257533475.0,3.76,24.34,23.44,24.3,23.95,0.64,5.93,37.88,4.65,9697895995.0,4323269189.0,-0.5,-0.13,43.7,19.15
5136,601058,赛轮轮胎,13.83,-1.0,-0.14,447731.0,620041924.0,2.15,14.0,13.7,13.9,13.97,0.7,1.36,10.57,2.55,45474426582.0,45474426582.0,0.0,0.07,15.15,19.43
5137,002350,北京科锐,5.91,-1.01,-0.06,144862.0,85941812.3,2.35,6.02,5.88,5.97,5.97,0.84,2.74,-135.31,1.9,3205178284.0,3126922544.0,0.0,-0.17,25.74,-12.44
5138,002928,华夏航空,7.86,-1.01,-0.08,169025.0,133840784.25,2.52,8.03,7.83,7.87,7.94,0.78,1.32,192.09,3.23,10046978583.0,10046978583.0,-0.13,-0.25,35.05,10.08
5139,688633,星球石墨,23.54,-1.01,-0.24,10166.0,24131062.0,3.36,24.16,23.36,23.78,23.78,0.78,0.71,27.61,2.27,3413505810.0,3384184857.0,0.09,0.0,22.67,7.05
