序号,日期,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,是否新高,量比,涨停统计,入选理由,所属行业
62,20240528,600026,中远海能,1.959686517715454,18.21,19.65,173958883,63275678152.950005,86875836787.2,0.27858611941337585,-0.2738225758075714,1,1.324452519416809,0/0,1,航运港口
63,20240528,000520,凤凰航运,1.8808776140213013,3.25,3.51,333956208,3289271228.75,3289271232.0,10.105484962463379,-0.3067484498023987,1,3.2902960777282715,2/1,1,航运港口
64,20240528,300298,三诺生物,1.8168336153030396,27.46,32.36,80262379,12498753270.58,15494727224.960001,0.6472280025482178,0.0,1,1.1670985221862793,0/0,1,医疗器械
65,20240528,600236,桂冠电力,1.6783217191696167,7.27,7.87,84097654,57304886620.53999,57304886082.56,0.14791984856128693,0.0,1,1.880706548690796,0/0,1,电力行业
66,20240528,600795,国电电力,1.470588207244873,5.52,5.98,422530992,98452617332.64,98452617277.43999,0.4332348704338074,0.0,1,1.325662612915039,0/0,1,电力行业
67,20240528,600889,南京化纤,1.4184396266937256,5.72,6.2,194118440,2095499177.1999998,2095499211.52,9.44300365447998,-0.3484320640563965,0,1.297791600227356,13/7,2,化纤行业
68,20240528,000863,三湘印象,1.3774104118347168,3.68,3.99,383794608,4282104738.2400002,4344974410.24,8.637319564819336,0.2724795639514923,1,5.501968860626221,2/1,1,房地产开
69,20240528,603606,东方电缆,1.3103160858154297,48.71,52.89,531850496,33498615575.28,33498615964.96,1.567450761795044,-0.020525451749563217,1,4.205662727355957,0/0,1,电网设备
70,20240528,603633,徕木股份,1.297169804573059,8.59,9.33,66697453,3666304926.62,3666304909.44,1.8085944652557373,0.23337222635746002,1,2.272296190261841,0/0,1,汽车零部
71,20240528,600674,川投能源,1.2521343231201172,17.79,19.33,121709146,86719255470.12,86719255825.92,0.1413203477859497,0.05624297261238098,1,0.9840227961540222,0/0,1,电力行业
